sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description
B4Jenny02			metagenome	Homo sapiens	stool	2017-07-17	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B4Jenny03			metagenome	Homo sapiens	stool	2017-12-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B4Jenny1			metagenome	Homo sapiens	stool	2017-02-08	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B5Jenny02			metagenome	Homo sapiens	stool	2017-07-12	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B5Jenny03			metagenome	Homo sapiens	stool	2017-12-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B5Jenny1			metagenome	Homo sapiens	stool	2017-02-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B6Jenny02			metagenome	Homo sapiens	stool	2017-07-14	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B6Jenny03			metagenome	Homo sapiens	stool	2017-12-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B6Jenny1			metagenome	Homo sapiens	stool	2017-03-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B7Jenny02			metagenome	Homo sapiens	stool	2017-07-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B7Jenny1			metagenome	Homo sapiens	stool	2017-03-27	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B8Jenny02			metagenome	Homo sapiens	stool	2017-07-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B8Jenny03			metagenome	Homo sapiens	stool	2017-12-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B8Jenny1			metagenome	Homo sapiens	stool	2017-04-10	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B9Jenny02			metagenome	Homo sapiens	stool	2017-07-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B9Jenny1			metagenome	Homo sapiens	stool	2017-04-09	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C10Jenny02			metagenome	Homo sapiens	stool	2017-06-16	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C10Jenny03			metagenome	Homo sapiens	stool	2018-01-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C10Jenny1			metagenome	Homo sapiens	stool	2017-03-01	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C11Jenny02			metagenome	Homo sapiens	stool	2017-06-15	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C11Jenny03			metagenome	Homo sapiens	stool	2018-01-08	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C11Jenny1			metagenome	Homo sapiens	stool	2017-01-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C12Jenny02			metagenome	Homo sapiens	stool	2017-06-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C12Jenny03			metagenome	Homo sapiens	stool	2018-01-08	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C12Jenny1			metagenome	Homo sapiens	stool	2017-03-01	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C1Jenny02			metagenome	Homo sapiens	stool	2017-09-12	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C1Jenny1			metagenome	Homo sapiens	stool	2017-04-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C2Jenny02			metagenome	Homo sapiens	stool	2017-09-12	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C2Jenny03			metagenome	Homo sapiens	stool	2018-01-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C2Jenny1			metagenome	Homo sapiens	stool	2017-04-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C3Jenny02			metagenome	Homo sapiens	stool	2017-09-13	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C3Jenny03			metagenome	Homo sapiens	stool	2018-01-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C3Jenny1			metagenome	Homo sapiens	stool	2017-02-12	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C4Jenny02			metagenome	Homo sapiens	stool	2017-09-17	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C4Jenny03			metagenome	Homo sapiens	stool	2018-01-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C4Jenny1			metagenome	Homo sapiens	stool	2017-01-25	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C5Jenny02			metagenome	Homo sapiens	stool	2017-09-14	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C5Jenny03			metagenome	Homo sapiens	stool	2018-01-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C5Jenny1			metagenome	Homo sapiens	stool	2017-03-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C6Jenny02			metagenome	Homo sapiens	stool	2017-09-20	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C6Jenny03			metagenome	Homo sapiens	stool	2018-01-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C6Jenny1			metagenome	Homo sapiens	stool	2017-04-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C7Jenny03			metagenome	Homo sapiens	stool	2018-01-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C7Jenny1			metagenome	Homo sapiens	stool	2017-03-13	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C8Jenny02			metagenome	Homo sapiens	stool	2017-09-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C8Jenny03			metagenome	Homo sapiens	stool	2018-01-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C8Jenny1			metagenome	Homo sapiens	stool	2017-04-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C9Jenny02			metagenome	Homo sapiens	stool	2017-07-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C9Jenny03			metagenome	Homo sapiens	stool	2018-01-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
C9Jenny1			metagenome	Homo sapiens	stool	2017-03-15	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D10Heidi5			metagenome	Homo sapiens	stool	2017-01-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D10Jenny02			metagenome	Homo sapiens	stool	2017-09-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D10Jenny03			metagenome	Homo sapiens	stool	2017-12-10	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D10Jenny1			metagenome	Homo sapiens	stool	2017-05-16	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D11Heidi5			metagenome	Homo sapiens	stool	2017-01-17	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D11Jenny02			metagenome	Homo sapiens	stool	2017-09-26	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D11Jenny03			metagenome	Homo sapiens	stool	2017-12-10	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D11Jenny1			metagenome	Homo sapiens	stool	2017-05-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D12Heidi5			metagenome	Homo sapiens	stool	2017-01-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D12Jenny03			metagenome	Homo sapiens	stool	2017-12-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D12Jenny1			metagenome	Homo sapiens	stool	2017-04-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D1Jenny02			metagenome	Homo sapiens	stool	2017-06-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D1Jenny03			metagenome	Homo sapiens	stool	2018-01-09	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D1Jenny1			metagenome	Homo sapiens	stool	2017-03-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D2Jenny02			metagenome	Homo sapiens	stool	2017-06-18	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D2Jenny03			metagenome	Homo sapiens	stool	2018-01-10	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D2Jenny1			metagenome	Homo sapiens	stool	2017-04-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D3Jenny02			metagenome	Homo sapiens	stool	2017-06-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D3Jenny03			metagenome	Homo sapiens	stool	2018-01-14	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D3Jenny1			metagenome	Homo sapiens	stool	2017-04-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D4Jenny02			metagenome	Homo sapiens	stool	2017-05-23	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D4Jenny03			metagenome	Homo sapiens	stool	2018-01-14	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D4Jenny1			metagenome	Homo sapiens	stool	2017-04-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D5Jenny02			metagenome	Homo sapiens	stool	2017-06-12	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D5Jenny03			metagenome	Homo sapiens	stool	2018-01-16	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D5Jenny1			metagenome	Homo sapiens	stool	2017-05-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D6Jenny02			metagenome	Homo sapiens	stool	2017-06-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D6Jenny03			metagenome	Homo sapiens	stool	2018-01-16	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D6Jenny1			metagenome	Homo sapiens	stool	2017-04-20	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D7Heidi5			metagenome	Homo sapiens	stool	2017-01-17	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D7Jenny02			metagenome	Homo sapiens	stool	2017-06-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D7Jenny03			metagenome	Homo sapiens	stool	2018-01-16	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D7Jenny1			metagenome	Homo sapiens	stool	2017-04-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D8Heidi5			metagenome	Homo sapiens	stool	2017-01-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D8Jenny02			metagenome	Homo sapiens	stool	2017-06-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D8Jenny1			metagenome	Homo sapiens	stool	2017-05-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D9Heidi5			metagenome	Homo sapiens	stool	2016-12-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D9Jenny02			metagenome	Homo sapiens	stool	2017-05-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D9Jenny03			metagenome	Homo sapiens	stool	2018-01-17	USA: Ohio, Cincinnati	39.10 N 84.51 W							
D9Jenny1			metagenome	Homo sapiens	stool	2017-05-08	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E10Heidi3			metagenome	Homo sapiens	stool	2016-11-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E10Heidi5			metagenome	Homo sapiens	stool	2016-12-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E10Jenny02			metagenome	Homo sapiens	stool	2017-10-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E10Jenny03			metagenome	Homo sapiens	stool	2017-12-18	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E10Jenny1			metagenome	Homo sapiens	stool	2017-08-13	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E11Heidi5			metagenome	Homo sapiens	stool	2016-12-01	USA: Ohio, Cincinnati	39.10 N 84.51 W							
E11Jenny02			metagenome	Homo sapiens	stool	2017-10-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
